column_name,data_type,required,level,description
area_id,string,yes,commercial_area,서울 상권 코드
area_name,string,yes,commercial_area,서울 상권명
area_type,string,yes,commercial_area,서울 상권 유형
district_nm,string,yes,commercial_area,서울 자치구
period_q,string,yes,commercial_area,YYYYQn 기준분기
source_period,string,yes,commercial_area,원천 기준기간
bakery_amt_ccg,float,no,ccg,자치구 제과 소비금액
bakery_cnt_ccg,float,no,ccg,자치구 제과 이용건수
bakery_avg_ticket_ccg,float,no,ccg,자치구 평균 이용금액
male_share_ccg,float,no,ccg,자치구 남성 비중
female_share_ccg,float,no,ccg,자치구 여성 비중
age_u20_share_ccg,float,no,ccg,20대 이하 비중
age_20_share_ccg,float,no,ccg,20대 비중
age_30_share_ccg,float,no,ccg,30대 비중
age_40_share_ccg,float,no,ccg,40대 비중
age_50_share_ccg,float,no,ccg,50대 비중
age_60p_share_ccg,float,no,ccg,60대 이상 비중
corp_foreign_share_ccg,float,no,ccg,법인·외국인 비중
estimated_sales_amt,float,no,commercial_area,추정매출
estimated_sales_cnt,float,no,commercial_area,추정 거래건수
estimated_avg_ticket,float,no,commercial_area,평균 결제금액
bakery_store_count,integer,no,commercial_area,제과 점포 수
bakery_franchise_store_count,integer,no,commercial_area,제과 프랜차이즈 수
bakery_franchise_share,float,no,commercial_area,프랜차이즈 비중
similar_industry_store_count,integer,no,commercial_area,유사업종 점포 수
open_store_count,integer,no,commercial_area,개업 점포 수
close_store_count,integer,no,commercial_area,폐업 점포 수
open_rate,float,no,commercial_area,개업률
close_rate,float,no,commercial_area,폐업률
bc_observed,integer,yes,quality,BC값 관측 여부
seoul_store_observed,integer,yes,quality,서울 점포값 관측 여부
seoul_sales_observed,integer,yes,quality,서울 매출값 관측 여부
missing_reason,string,no,quality,결측·조인 실패 사유
bc_bakery_mapping_version,string,yes,quality,제과 업종 매핑 버전
aggregation_rule,string,yes,quality,집계 규칙
