path,size_mb,n_columns_preview,date_like_columns,quarter_like_columns,columns_preview
Datasets/b. External Public Data/01_mois_rest_cafes/rest_cafes_seoul_address.jsonl,116.83,39,,,"BIZPLC_SURRND_SE_NM, BLDG_PSN_SE_NM, BPLC_NM, BZSTAT_SE_NM, CLSBIZ_YMD, CRD_INFO_X, CRD_INFO_Y, DAT_UPDT_PNT, DAT_UPDT_SE, DTL_SALS_STTS_CD, DTL_SALS_STTS_NM, FCLT_TOTAL_SCL, FCTRY_OFJB_EMP_CNT, FCTRY_PRODWK_EMP_CNT, FCTRY_SLSPOS_EMP_CNT, FML_PRCTR_CNT, GRD_SE_NM, GRNAMT, HDOFC_EMP_CNT, HPG, LAST_MDFCN_PNT, LCPMT_YMD, LCTN_AREA, LCTN_ZIP, LOTNO_ADDR, MLT_UTZTN_BSNSSP_YN, ML_PRCTR_CNT, MNG_NO, MRNT_AMOUNT, OPN_ATMY_GRP_CD"
Datasets/b. External Public Data/01_mois_rest_cafes/rest_cafes_seoul_address.manifest.json,0.0,1,READ_ERROR: Expecting property name enclosed in double quotes: line 1 column 2 (char 1),,READ_ERROR: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)
Datasets/b. External Public Data/02_small_business_stores/소상공인시장진흥공단_상가(상권)정보_20260630.zip,336.36,0,,,
Datasets/b. External Public Data/04_seoul_store_by_area/store_by_area_20261.jsonl,25.69,14,,STDR_YYQU_CD,"STDR_YYQU_CD, TRDAR_SE_CD, TRDAR_SE_CD_NM, TRDAR_CD, TRDAR_CD_NM, SVC_INDUTY_CD, SVC_INDUTY_CD_NM, SIMILR_INDUTY_STOR_CO, STOR_CO, FRC_STOR_CO, OPBIZ_RT, OPBIZ_STOR_CO, CLSBIZ_RT, CLSBIZ_STOR_CO"
Datasets/b. External Public Data/04_seoul_store_by_area/store_by_area_20261_manifest.json,0.0,1,READ_ERROR: Expecting property name enclosed in double quotes: line 1 column 2 (char 1),,READ_ERROR: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)
Datasets/b. External Public Data/04_seoul_store_by_area/store_by_area_20262.jsonl,25.67,14,,STDR_YYQU_CD,"STDR_YYQU_CD, TRDAR_SE_CD, TRDAR_SE_CD_NM, TRDAR_CD, TRDAR_CD_NM, SVC_INDUTY_CD, SVC_INDUTY_CD_NM, SIMILR_INDUTY_STOR_CO, STOR_CO, FRC_STOR_CO, OPBIZ_RT, OPBIZ_STOR_CO, CLSBIZ_RT, CLSBIZ_STOR_CO"
Datasets/b. External Public Data/04_seoul_store_by_area/store_by_area_20262_manifest.json,0.0,1,READ_ERROR: Expecting property name enclosed in double quotes: line 1 column 2 (char 1),,READ_ERROR: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)
PART-II/DATA-01/brand_store_master.parquet,0.63,25,source_date,,"brand_id, brand_name, store_id, store_name_raw, store_name_std, address_raw, address_std, sido_nm, ccg_nm, district_nm, ccg_id, district_cd, longitude, latitude, coordinate_source, store_status, match_method, match_confidence, area_id, area_name, area_type, spatial_join_status, exclusion_reason, source_name, source_date"
PART-II/DATA-01/store_match_candidates.parquet,0.63,24,,,"상가업소번호, 상호명, 지점명, 상권업종대분류명, 상권업종중분류명, 상권업종소분류명, 시도명, 시군구명, 행정동명, 법정동명, 지번주소, 도로명주소, 경도, 위도, store_name_normalized, brand_id, brand_name_raw, variant, match_method, match_confidence, excluded, exclusion_reason, review_needed, review_reason"
PART-II/DATA-01/store_match_review_needed.csv,0.17,8,,,"brand_name_raw, 상호명, 지점명, 시도명, 시군구명, match_method, match_confidence, review_reason"
PART-II/DATA-02/intermediate/seoul_relevant_store_points_202606.parquet,1.55,11,,,"store_source_id, store_name, branch_name, category, source_subcategory, ccg_id, ccg_nm, longitude, latitude, x_epsg5181, y_epsg5181"
PART-III/MODEL-01/outputs/competition_audit/brand_store_to_point_nearest.parquet,0.07,12,,,"brand_id, brand_name, store_id, store_name_raw, area_id, longitude, latitude, match_confidence, nearest_point_id, nearest_category, nearest_store_name, nearest_distance_m"
