STDR_YYQU_CD,area_rows,store_observed_rows,sales_observed_rows,median_sales,median_store_count
20231,1190,1190,445,231294178.0,2.0
20232,1196,1196,441,256719814.0,2.0
20233,1198,1198,442,241021995.5,2.0
20234,1199,1199,436,246874897.5,2.0
20241,1200,1200,434,229979891.0,2.0
20242,1196,1196,431,238870837.0,2.0
20243,1192,1192,430,215983865.0,2.0
20244,1191,1191,424,245106888.0,2.0
20251,1193,1193,419,228565181.0,2.0
20252,1193,1193,418,238344158.0,2.0
20253,1202,1202,423,247175483.0,2.0
20254,1196,1196,430,250875421.0,2.0
20261,1192,1192,430,236863678.0,2.0
20262,1186,1186,433,245030296.0,2.0
