brand_name,candidate_areas,existing_areas,median_same_brand_distance_m,median_competitor_count_500m
곤트란쉐리에(Gontran Cherrier),1650,11,4707.451299258206,13.0
더베이크,1650,7,4037.0202216134167,13.0
던킨/던킨도너츠,1650,63,1160.5215240497578,13.0
디에그,1650,4,4442.88346831367,13.0
뚜레쥬르,1650,179,583.4435486010008,13.0
롤링핀,1650,4,4599.942903922679,13.0
명랑시대쌀핫도그,1650,32,1662.8520280185026,13.0
못난이꽈배기,1650,10,3125.8827535208093,13.0
보리원,1650,4,5471.83064274031,13.0
복호두,1650,30,1710.4780579213084,13.0
브레댄코(bread&co.DAILY-NEW),1650,20,2359.119486499424,13.0
빵굼터,1650,5,4742.812950493475,13.0
빵장수단팥빵,1650,5,5470.203147222484,13.0
삼송빵집,1650,6,4272.647003762404,13.0
소림사,1650,6,4239.931233815918,13.0
스트릿츄러스,1650,7,3928.776542761553,13.0
심봉사도로케,1650,5,4903.615750181364,13.0
올드몬트베이글,1650,4,12537.805877925028,13.0
크리스피크림,1650,8,3729.302022909396,13.0
파리바게뜨,1650,384,366.4573405922439,12.0
핫브레드 ,1650,37,1526.7523558557039,13.0
호두당,1650,5,4289.710654248109,13.0
호밀호두,1650,11,2844.852227423178,13.0
화이트리에,1650,11,3294.6121973311747,13.0
