raw_feature,standardized_feature,transform,missing_rate,target_sensitive_supply_feature
bakery_similr_induty_stor_co,z__bakery_similr_induty_stor_co,log1p,0.281212,True
bakery_stor_co,z__bakery_stor_co,log1p,0.281212,True
bakery_frc_stor_co,z__bakery_frc_stor_co,log1p,0.281212,True
bakery_opbiz_rt,z__bakery_opbiz_rt,log1p,0.281212,False
bakery_opbiz_stor_co,z__bakery_opbiz_stor_co,log1p,0.281212,True
bakery_clsbiz_rt,z__bakery_clsbiz_rt,log1p,0.281212,False
bakery_clsbiz_stor_co,z__bakery_clsbiz_stor_co,log1p,0.281212,True
coffee_frc_stor_co,z__coffee_frc_stor_co,log1p,0.081212,False
coffee_opbiz_rt,z__coffee_opbiz_rt,log1p,0.081212,False
coffee_opbiz_stor_co,z__coffee_opbiz_stor_co,log1p,0.081212,False
coffee_clsbiz_rt,z__coffee_clsbiz_rt,log1p,0.081212,False
coffee_clsbiz_stor_co,z__coffee_clsbiz_stor_co,log1p,0.081212,False
bakery_thsmon_selng_amt,z__bakery_thsmon_selng_amt,log1p,0.737576,False
bakery_thsmon_selng_co,z__bakery_thsmon_selng_co,log1p,0.737576,False
bakery_mdwk_selng_amt,z__bakery_mdwk_selng_amt,log1p,0.737576,False
bakery_wkend_selng_amt,z__bakery_wkend_selng_amt,log1p,0.737576,False
bakery_mon_selng_amt,z__bakery_mon_selng_amt,log1p,0.737576,False
bakery_tues_selng_amt,z__bakery_tues_selng_amt,log1p,0.737576,False
bakery_wed_selng_amt,z__bakery_wed_selng_amt,log1p,0.737576,False
bakery_thur_selng_amt,z__bakery_thur_selng_amt,log1p,0.737576,False
bakery_fri_selng_amt,z__bakery_fri_selng_amt,log1p,0.737576,False
bakery_sat_selng_amt,z__bakery_sat_selng_amt,log1p,0.737576,False
bakery_sun_selng_amt,z__bakery_sun_selng_amt,log1p,0.737576,False
bakery_tmzon_00_06_selng_amt,z__bakery_tmzon_00_06_selng_amt,log1p,0.737576,False
bakery_tmzon_06_11_selng_amt,z__bakery_tmzon_06_11_selng_amt,log1p,0.737576,False
bakery_tmzon_11_14_selng_amt,z__bakery_tmzon_11_14_selng_amt,log1p,0.737576,False
bakery_tmzon_14_17_selng_amt,z__bakery_tmzon_14_17_selng_amt,log1p,0.737576,False
bakery_tmzon_17_21_selng_amt,z__bakery_tmzon_17_21_selng_amt,log1p,0.737576,False
bakery_tmzon_21_24_selng_amt,z__bakery_tmzon_21_24_selng_amt,log1p,0.737576,False
bakery_ml_selng_amt,z__bakery_ml_selng_amt,log1p,0.737576,False
bakery_fml_selng_amt,z__bakery_fml_selng_amt,log1p,0.737576,False
bakery_agrde_10_selng_amt,z__bakery_agrde_10_selng_amt,log1p,0.737576,False
bakery_agrde_20_selng_amt,z__bakery_agrde_20_selng_amt,log1p,0.737576,False
