raw_feature,standardized_feature,nonmissing_rate,unique_value_count,p05,p95
bakery_mdwk_selng_amt,z__bakery_mdwk_selng_amt,1.0,433,-1.3493624090296836,1.2382579159030216
bakery_mon_selng_amt,z__bakery_mon_selng_amt,1.0,421,-0.672782710914821,0.6787157016273416
bakery_tues_selng_amt,z__bakery_tues_selng_amt,1.0,425,-0.7675392066515335,0.7577683722859846
bakery_wed_selng_amt,z__bakery_wed_selng_amt,1.0,426,-0.8242192083999783,0.7915444331137258
bakery_thur_selng_amt,z__bakery_thur_selng_amt,1.0,426,-0.8627962537528251,0.7591137426076392
bakery_fri_selng_amt,z__bakery_fri_selng_amt,1.0,430,-1.003725768250326,0.9306910257185116
bakery_sat_selng_amt,z__bakery_sat_selng_amt,1.0,423,-0.6074302283553976,0.7158290821653612
bakery_sun_selng_amt,z__bakery_sun_selng_amt,1.0,395,-0.42684459281003023,0.5329571186406641
bakery_tmzon_00_06_selng_amt,z__bakery_tmzon_00_06_selng_amt,1.0,149,-0.3141808984845343,3.0552830484267877
bakery_tmzon_06_11_selng_amt,z__bakery_tmzon_06_11_selng_amt,1.0,422,-0.8158068873835673,0.706011522581851
bakery_tmzon_11_14_selng_amt,z__bakery_tmzon_11_14_selng_amt,1.0,431,-1.0582905163540886,0.9942458909835156
bakery_tmzon_14_17_selng_amt,z__bakery_tmzon_14_17_selng_amt,1.0,432,-1.0521273659966426,1.1014813985815397
bakery_tmzon_17_21_selng_amt,z__bakery_tmzon_17_21_selng_amt,1.0,429,-0.9232021120098124,0.9113325151781906
bakery_tmzon_21_24_selng_amt,z__bakery_tmzon_21_24_selng_amt,1.0,383,-0.6386337221796576,0.6014042502547798
bakery_ml_selng_amt,z__bakery_ml_selng_amt,1.0,431,-1.0258039330001452,0.9672238071579012
bakery_fml_selng_amt,z__bakery_fml_selng_amt,1.0,433,-1.2630530665710868,1.1732297631955375
bakery_agrde_10_selng_amt,z__bakery_agrde_10_selng_amt,1.0,390,-0.6737271735689364,0.7781255955534575
bakery_agrde_20_selng_amt,z__bakery_agrde_20_selng_amt,1.0,428,-1.114004016419887,1.0146169700342593
