area_id,recommended_brand_count,brands
3120165,24,곤트란쉐리에(Gontran Cherrier) | 더베이크 | 던킨/던킨도너츠 | 디에그 | 뚜레쥬르 | 롤링핀 | 명랑시대쌀핫도그 | 못난이꽈배기 | 보리원 | 복호두 | 브레댄코(bread&co.DAILY-NEW) | 빵굼터 | 빵장수단팥빵 | 삼송빵집 | 소림사 | 스트릿츄러스 | 심봉사도로케 | 올드몬트베이글 | 크리스피크림 | 파리바게뜨 | 핫브레드  | 호두당 | 호밀호두 | 화이트리에
3120166,23,곤트란쉐리에(Gontran Cherrier) | 더베이크 | 던킨/던킨도너츠 | 디에그 | 뚜레쥬르 | 롤링핀 | 명랑시대쌀핫도그 | 못난이꽈배기 | 보리원 | 복호두 | 브레댄코(bread&co.DAILY-NEW) | 빵굼터 | 빵장수단팥빵 | 삼송빵집 | 소림사 | 스트릿츄러스 | 심봉사도로케 | 올드몬트베이글 | 크리스피크림 | 핫브레드  | 호두당 | 호밀호두 | 화이트리에
3120173,21,더베이크 | 던킨/던킨도너츠 | 디에그 | 뚜레쥬르 | 롤링핀 | 명랑시대쌀핫도그 | 못난이꽈배기 | 보리원 | 복호두 | 브레댄코(bread&co.DAILY-NEW) | 빵굼터 | 빵장수단팥빵 | 삼송빵집 | 소림사 | 스트릿츄러스 | 심봉사도로케 | 올드몬트베이글 | 크리스피크림 | 핫브레드  | 호두당 | 화이트리에
3120160,20,곤트란쉐리에(Gontran Cherrier) | 더베이크 | 던킨/던킨도너츠 | 디에그 | 뚜레쥬르 | 롤링핀 | 명랑시대쌀핫도그 | 못난이꽈배기 | 보리원 | 브레댄코(bread&co.DAILY-NEW) | 빵굼터 | 빵장수단팥빵 | 삼송빵집 | 소림사 | 스트릿츄러스 | 올드몬트베이글 | 핫브레드  | 호두당 | 호밀호두 | 화이트리에
3120189,19,곤트란쉐리에(Gontran Cherrier) | 더베이크 | 던킨/던킨도너츠 | 디에그 | 롤링핀 | 명랑시대쌀핫도그 | 못난이꽈배기 | 보리원 | 빵굼터 | 빵장수단팥빵 | 삼송빵집 | 소림사 | 스트릿츄러스 | 심봉사도로케 | 올드몬트베이글 | 핫브레드  | 호두당 | 호밀호두 | 화이트리에
3120164,18,곤트란쉐리에(Gontran Cherrier) | 던킨/던킨도너츠 | 디에그 | 뚜레쥬르 | 롤링핀 | 명랑시대쌀핫도그 | 보리원 | 복호두 | 빵굼터 | 삼송빵집 | 소림사 | 스트릿츄러스 | 올드몬트베이글 | 크리스피크림 | 파리바게뜨 | 호두당 | 호밀호두 | 화이트리에
3120175,17,곤트란쉐리에(Gontran Cherrier) | 던킨/던킨도너츠 | 디에그 | 뚜레쥬르 | 롤링핀 | 보리원 | 복호두 | 브레댄코(bread&co.DAILY-NEW) | 빵굼터 | 소림사 | 스트릿츄러스 | 올드몬트베이글 | 크리스피크림 | 핫브레드  | 호두당 | 호밀호두 | 화이트리에
3120069,11,던킨/던킨도너츠 | 디에그 | 롤링핀 | 명랑시대쌀핫도그 | 못난이꽈배기 | 보리원 | 빵굼터 | 스트릿츄러스 | 심봉사도로케 | 호두당 | 호밀호두
3120114,10,디에그 | 뚜레쥬르 | 롤링핀 | 보리원 | 빵굼터 | 삼송빵집 | 심봉사도로케 | 올드몬트베이글 | 호두당 | 호밀호두
3120006,8,더베이크 | 던킨/던킨도너츠 | 못난이꽈배기 | 빵장수단팥빵 | 스트릿츄러스 | 심봉사도로케 | 크리스피크림 | 핫브레드 
3120210,8,더베이크 | 롤링핀 | 보리원 | 브레댄코(bread&co.DAILY-NEW) | 빵장수단팥빵 | 삼송빵집 | 올드몬트베이글 | 크리스피크림
3120007,7,더베이크 | 못난이꽈배기 | 복호두 | 빵장수단팥빵 | 스트릿츄러스 | 크리스피크림 | 핫브레드 
3110943,6,던킨/던킨도너츠 | 복호두 | 브레댄코(bread&co.DAILY-NEW) | 소림사 | 올드몬트베이글 | 화이트리에
3120110,6,뚜레쥬르 | 명랑시대쌀핫도그 | 못난이꽈배기 | 삼송빵집 | 심봉사도로케 | 호두당
3120249,6,뚜레쥬르 | 명랑시대쌀핫도그 | 복호두 | 심봉사도로케 | 호밀호두 | 화이트리에
3120068,5,디에그 | 못난이꽈배기 | 빵굼터 | 삼송빵집 | 심봉사도로케
3120008,4,더베이크 | 복호두 | 크리스피크림 | 핫브레드 
3120118,4,곤트란쉐리에(Gontran Cherrier) | 뚜레쥬르 | 명랑시대쌀핫도그 | 호밀호두
3120188,3,곤트란쉐리에(Gontran Cherrier) | 브레댄코(bread&co.DAILY-NEW) | 빵장수단팥빵
3001496,3,곤트란쉐리에(Gontran Cherrier) | 브레댄코(bread&co.DAILY-NEW) | 빵장수단팥빵
3130002,3,더베이크 | 크리스피크림 | 핫브레드 
3120061,2,브레댄코(bread&co.DAILY-NEW) | 소림사
3120156,1,소림사
3110274,1,파리바게뜨
3120005,1,파리바게뜨
3110930,1,파리바게뜨
3120179,1,복호두
3120185,1,파리바게뜨
3110905,1,파리바게뜨
3110640,1,파리바게뜨
3120197,1,곤트란쉐리에(Gontran Cherrier)
3110593,1,파리바게뜨
3120245,1,화이트리에
3110278,1,파리바게뜨
