brand_name,ccg,area_count,affinity_unique_values,largest_affinity_tie_share
곤트란쉐리에(Gontran Cherrier),11110,19,1,1.0
곤트란쉐리에(Gontran Cherrier),11140,25,1,1.0
곤트란쉐리에(Gontran Cherrier),11170,16,1,1.0
곤트란쉐리에(Gontran Cherrier),11200,13,1,1.0
곤트란쉐리에(Gontran Cherrier),11215,16,1,1.0
곤트란쉐리에(Gontran Cherrier),11230,14,1,1.0
곤트란쉐리에(Gontran Cherrier),11260,13,1,1.0
곤트란쉐리에(Gontran Cherrier),11290,17,1,1.0
곤트란쉐리에(Gontran Cherrier),11305,7,1,1.0
곤트란쉐리에(Gontran Cherrier),11320,16,1,1.0
곤트란쉐리에(Gontran Cherrier),11350,13,1,1.0
곤트란쉐리에(Gontran Cherrier),11380,18,1,1.0
곤트란쉐리에(Gontran Cherrier),11410,17,1,1.0
곤트란쉐리에(Gontran Cherrier),11440,28,1,1.0
곤트란쉐리에(Gontran Cherrier),11470,18,1,1.0
곤트란쉐리에(Gontran Cherrier),11500,18,1,1.0
곤트란쉐리에(Gontran Cherrier),11530,15,1,1.0
곤트란쉐리에(Gontran Cherrier),11545,10,1,1.0
곤트란쉐리에(Gontran Cherrier),11560,13,1,1.0
곤트란쉐리에(Gontran Cherrier),11590,14,1,1.0
곤트란쉐리에(Gontran Cherrier),11620,16,1,1.0
곤트란쉐리에(Gontran Cherrier),11650,20,1,1.0
곤트란쉐리에(Gontran Cherrier),11680,29,1,1.0
곤트란쉐리에(Gontran Cherrier),11710,29,1,1.0
곤트란쉐리에(Gontran Cherrier),11740,19,1,1.0
더베이크,11110,19,1,1.0
더베이크,11140,25,1,1.0
더베이크,11170,16,1,1.0
더베이크,11200,13,1,1.0
더베이크,11215,16,1,1.0
더베이크,11230,14,1,1.0
더베이크,11260,13,1,1.0
더베이크,11290,17,1,1.0
더베이크,11305,7,1,1.0
더베이크,11320,16,1,1.0
더베이크,11350,13,1,1.0
더베이크,11380,18,1,1.0
더베이크,11410,17,1,1.0
더베이크,11440,28,1,1.0
더베이크,11470,18,1,1.0
더베이크,11500,18,1,1.0
더베이크,11530,15,1,1.0
더베이크,11545,10,1,1.0
더베이크,11560,13,1,1.0
더베이크,11590,14,1,1.0
더베이크,11620,16,1,1.0
더베이크,11650,20,1,1.0
더베이크,11680,29,1,1.0
더베이크,11710,29,1,1.0
더베이크,11740,19,1,1.0
던킨/던킨도너츠,11110,19,1,1.0
던킨/던킨도너츠,11140,25,1,1.0
던킨/던킨도너츠,11170,16,1,1.0
던킨/던킨도너츠,11200,13,1,1.0
던킨/던킨도너츠,11215,16,1,1.0
던킨/던킨도너츠,11230,14,1,1.0
던킨/던킨도너츠,11260,13,1,1.0
던킨/던킨도너츠,11290,17,1,1.0
던킨/던킨도너츠,11305,7,1,1.0
던킨/던킨도너츠,11320,16,1,1.0
던킨/던킨도너츠,11350,13,1,1.0
던킨/던킨도너츠,11380,18,1,1.0
