brand_name,profile_stability,selected_scenario,eligible_candidate_pool_count,available_recommendation_count,recommendation_availability_status
곤트란쉐리에(Gontran Cherrier),moderate_profile_stability,conservative_fit,70,20,top20_available
더베이크,high_profile_stability,balanced_default,104,20,top20_available
던킨/던킨도너츠,high_profile_stability,balanced_default,70,20,top20_available
디에그,high_profile_stability,balanced_default,91,20,top20_available
뚜레쥬르,high_profile_stability,balanced_default,31,20,top20_available
롤링핀,moderate_profile_stability,conservative_fit,73,20,top20_available
명랑시대쌀핫도그,high_profile_stability,balanced_default,79,20,top20_available
못난이꽈배기,moderate_profile_stability,conservative_fit,81,20,top20_available
보리원,high_profile_stability,balanced_default,110,20,top20_available
복호두,high_profile_stability,balanced_default,76,20,top20_available
브레댄코(bread&co.DAILY-NEW),high_profile_stability,balanced_default,92,20,top20_available
빵굼터,high_profile_stability,balanced_default,105,20,top20_available
빵장수단팥빵,moderate_profile_stability,conservative_fit,64,20,top20_available
삼송빵집,high_profile_stability,balanced_default,99,20,top20_available
소림사,moderate_profile_stability,conservative_fit,60,20,top20_available
스트릿츄러스,high_profile_stability,balanced_default,104,20,top20_available
심봉사도로케,high_profile_stability,balanced_default,109,20,top20_available
올드몬트베이글,high_profile_stability,balanced_default,100,20,top20_available
크리스피크림,high_profile_stability,balanced_default,83,20,top20_available
파리바게뜨,high_profile_stability,balanced_default,7,7,limited_pool_show_available_only
핫브레드,high_profile_stability,balanced_default,73,20,top20_available
호두당,moderate_profile_stability,conservative_fit,73,20,top20_available
호밀호두,moderate_profile_stability,conservative_fit,79,20,top20_available
화이트리에,high_profile_stability,balanced_default,104,20,top20_available
