brand_name,profile_area_count,profile_status
곤트란쉐리에(Gontran Cherrier),11,usable_area_profile
더베이크,7,usable_area_profile
던킨/던킨도너츠,63,usable_area_profile
디에그,5,usable_area_profile
뚜레쥬르,179,usable_area_profile
롤링핀,9,usable_area_profile
명랑시대쌀핫도그,32,usable_area_profile
못난이꽈배기,10,usable_area_profile
보리원,6,usable_area_profile
복호두,30,usable_area_profile
브레댄코(bread&co.DAILY-NEW),20,usable_area_profile
빵굼터,12,usable_area_profile
빵장수단팥빵,5,usable_area_profile
삼송빵집,6,usable_area_profile
소림사,8,usable_area_profile
스트릿츄러스,7,usable_area_profile
심봉사도로케,5,usable_area_profile
올드몬트베이글,4,usable_area_profile
크리스피크림,8,usable_area_profile
파리바게뜨,384,usable_area_profile
핫브레드,37,usable_area_profile
호두당,5,usable_area_profile
호밀호두,11,usable_area_profile
화이트리에,11,usable_area_profile
