prediction,n,wape_pct,mae_won,spearman,top10_lift,origin_period_q
baseline_current_q_annualized,403,17.44,65521907.0,0.9617,3.7441,20211
baseline_trailing_12m_per_store,0,,,,,20211
baseline_current_q_annualized,414,19.0,71997941.0,0.9607,3.7211,20212
baseline_trailing_12m_per_store,0,,,,,20212
baseline_current_q_annualized,413,19.82,74569538.0,0.9602,3.648,20213
baseline_trailing_12m_per_store,0,,,,,20213
baseline_current_q_annualized,415,22.14,83484974.0,0.9579,3.7642,20214
baseline_trailing_12m_per_store,386,21.42,81117399.0,0.9495,3.6302,20214
baseline_current_q_annualized,409,16.86,63082520.0,0.9702,3.9666,20221
baseline_trailing_12m_per_store,390,19.46,73349163.0,0.9606,3.7582,20221
baseline_current_q_annualized,404,18.44,67628311.0,0.9636,3.8621,20222
baseline_trailing_12m_per_store,388,20.06,73786570.0,0.9634,3.7567,20222
baseline_current_q_annualized,399,17.74,62248092.0,0.9736,3.845,20223
baseline_trailing_12m_per_store,384,20.35,72826764.0,0.966,3.7882,20223
baseline_current_q_annualized,396,20.28,68785857.0,0.9739,3.7121,20224
baseline_trailing_12m_per_store,380,20.63,71613300.0,0.9662,3.6433,20224
baseline_current_q_annualized,393,19.07,64068587.0,0.9647,3.6925,20231
baseline_trailing_12m_per_store,377,21.73,74315837.0,0.9662,3.6416,20231
baseline_current_q_annualized,389,17.22,57010873.0,0.9685,3.6673,20232
baseline_trailing_12m_per_store,372,21.34,71099662.0,0.9654,3.6217,20232
baseline_current_q_annualized,389,16.92,56280159.0,0.9761,3.6579,20233
baseline_trailing_12m_per_store,369,20.68,68474843.0,0.9657,3.6481,20233
baseline_current_q_annualized,383,19.33,67148196.0,0.9731,3.8909,20234
baseline_trailing_12m_per_store,361,20.66,69112686.0,0.9613,3.7123,20234
baseline_current_q_annualized,379,17.7,61080159.0,0.9719,4.121,20241
baseline_trailing_12m_per_store,358,22.55,75738884.0,0.962,3.9616,20241
baseline_current_q_annualized,384,15.57,55798079.0,0.9691,4.1926,20242
baseline_trailing_12m_per_store,363,22.04,75470273.0,0.9556,4.0323,20242
baseline_current_q_annualized,385,18.36,67683051.0,0.96,4.1668,20243
baseline_trailing_12m_per_store,363,21.08,77499120.0,0.9491,4.1563,20243
baseline_current_q_annualized,387,18.05,67476168.0,0.9668,4.088,20244
baseline_trailing_12m_per_store,363,21.32,79223650.0,0.9514,4.1415,20244
baseline_current_q_annualized,387,18.23,69002600.0,0.9694,3.896,20251
baseline_trailing_12m_per_store,367,21.78,82954250.0,0.9565,3.9027,20251
baseline_current_q_annualized,387,20.52,77531158.0,0.9545,3.9215,20252
baseline_trailing_12m_per_store,372,22.35,84407571.0,0.9519,3.9312,20252
