prediction,n,wape_pct,mae_won,spearman,top10_vs_median_lift,top10_vs_mean_lift,origin_period_q
baseline_current_q_annualized,403,17.43919629175063,65521907.391351685,0.961655618915471,5.776068605184778,3.710666083702161,20211
baseline_trailing_12m_per_store,0,,,,,,20211
baseline_same_quarter_last_year_annualized,0,,,,,,20211
baseline_current_q_annualized,414,19.001367332171576,71997941.06304298,0.960713514125985,5.9455722445567485,3.688280835404774,20212
baseline_trailing_12m_per_store,0,,,,,,20212
baseline_same_quarter_last_year_annualized,0,,,,,,20212
baseline_current_q_annualized,413,19.822394979851403,74569537.6472666,0.9602441544689938,5.660550067658089,3.607555034728062,20213
baseline_trailing_12m_per_store,0,,,,,,20213
baseline_same_quarter_last_year_annualized,0,,,,,,20213
baseline_current_q_annualized,415,22.143611280549777,83484973.93813512,0.9578905924702154,6.01067375235072,3.7228491892225435,20214
baseline_trailing_12m_per_store,386,21.424104195309354,81117398.81955285,0.9495492337521498,5.7337035566548575,3.602435058104589,20214
baseline_same_quarter_last_year_annualized,0,,,,,,20214
baseline_current_q_annualized,409,16.85795621374529,63082520.08796865,0.9702360448025593,6.264316603904996,3.9330671078687587,20221
baseline_trailing_12m_per_store,390,19.463253299239728,73349162.6573943,0.9605629329480242,6.00535971561863,3.758202176417963,20221
baseline_same_quarter_last_year_annualized,381,29.23067037793213,109904108.78112705,0.905897809205373,5.424074254510538,3.524606903204711,20221
baseline_current_q_annualized,404,18.439117045023956,67628310.62243676,0.9635691608863118,6.236618955538344,3.8555396580786834,20222
baseline_trailing_12m_per_store,388,20.05500623472649,73786569.63409412,0.9633629354520141,5.950850946371057,3.7014540350607983,20222
baseline_same_quarter_last_year_annualized,380,29.657524664204697,110125011.58479671,0.9159379657462274,5.456568283288443,3.4315709943750137,20222
baseline_current_q_annualized,399,17.74490031507628,62248091.89543433,0.9736288585786073,6.095418658272632,3.801723483911741,20223
baseline_trailing_12m_per_store,384,20.346501092585118,72826764.31233771,0.9659580465226679,5.989428579752154,3.740444372303347,20223
baseline_same_quarter_last_year_annualized,382,31.623788571365225,111621591.67659204,0.9164413362523224,5.286968542105167,3.3154520241835965,20223
baseline_current_q_annualized,396,20.277870291820342,68785856.76778089,0.9739129006482259,5.806546663236996,3.6716891267763,20224
baseline_trailing_12m_per_store,380,20.62777570667917,71613299.72069499,0.9661501519364656,5.781157832577334,3.6432544893660754,20224
baseline_same_quarter_last_year_annualized,379,34.27754032891504,118602685.83324459,0.9142145160614816,5.5247816860401935,3.442460265807475,20224
baseline_current_q_annualized,393,19.065765696782854,64068586.555215634,0.9647331091153089,5.898971841373199,3.6604251524801863,20231
baseline_trailing_12m_per_store,377,21.72842469336519,74315837.38047092,0.9661588716981234,5.820953094487301,3.6036659354808878,20231
baseline_same_quarter_last_year_annualized,375,30.492222886125873,104638320.80020337,0.9275032426897258,5.7382500366040015,3.5406365758212726,20231
baseline_current_q_annualized,389,17.215765265129058,57010873.19717462,0.9685194962988938,5.928875385872067,3.6410375082739095,20232
baseline_trailing_12m_per_store,372,21.342642082581992,71099661.88210048,0.9654003743234357,5.796259306291172,3.554286692596878,20232
baseline_same_quarter_last_year_annualized,369,32.88165780392062,109916386.51078211,0.9172100255080106,5.73234775282451,3.5186735958383384,20232
baseline_current_q_annualized,389,16.917374121916044,56280158.86190788,0.9761084461876871,5.863714271820382,3.6271473533719742,20233
baseline_trailing_12m_per_store,369,20.68352934862776,68474843.2458473,0.9657067725201341,5.872763183424726,3.616358825391883,20233
baseline_same_quarter_last_year_annualized,367,32.53042247588404,107896808.3093964,0.9307133798536029,5.727382503000085,3.533109246035389,20233
baseline_current_q_annualized,383,19.334580499443707,67148196.31818084,0.9730707814443701,6.548544051513823,3.848223328773633,20234
baseline_trailing_12m_per_store,361,20.662878987422722,69112686.00455599,0.9612670451936761,6.028614199156885,3.6784568431749607,20234
baseline_same_quarter_last_year_annualized,362,37.40267703470305,128675651.3085648,0.924965037202794,6.1246320048050364,3.6475727846459027,20234
baseline_current_q_annualized,379,17.703847196161632,61080158.54229398,0.971877362711969,6.825106746852176,4.0797934784024195,20241
baseline_trailing_12m_per_store,358,22.548201834778048,75738884.15260059,0.9619571393394506,6.385816778205184,3.912843253139112,20241
baseline_same_quarter_last_year_annualized,356,34.33461938587774,114670811.9673937,0.9030537487981426,6.0547267820203885,3.742495399032428,20241
baseline_current_q_annualized,384,15.57197802639899,55798078.63371869,0.9690681055237191,7.254382396772983,4.149425982582169,20242
baseline_trailing_12m_per_store,363,22.0412014933735,75470272.54730137,0.9555855997342688,6.667791297154394,3.988041902822883,20242
baseline_same_quarter_last_year_annualized,359,33.543785152098735,115976664.00462529,0.9094909820886696,6.443410734376339,3.8165911614090984,20242
baseline_current_q_annualized,385,18.357938222693974,67683051.1417922,0.9600087897853441,7.245258210337061,4.124597595808142,20243
baseline_trailing_12m_per_store,363,21.084442576078064,77499119.96505032,0.9490976125832983,7.27285427053672,4.111930096855093,20243
baseline_same_quarter_last_year_annualized,363,34.2209602894666,121162802.98648685,0.9113044163270182,6.279497756061057,3.7219819508640053,20243
baseline_current_q_annualized,387,18.051719299836396,67476168.25207019,0.9668235190841938,6.757169508376123,4.0267881294151,20244
baseline_trailing_12m_per_store,363,21.322952439383577,79223649.98636672,0.9513625500566737,6.9126450618179325,4.097082392361007,20244
baseline_same_quarter_last_year_annualized,364,33.33706600353466,123734660.11996712,0.9082439353921297,6.514812256994839,3.866554444728659,20244
baseline_current_q_annualized,387,18.22585901724286,69002600.34636286,0.9694295135132002,6.301734500144661,3.8402938702644818,20251
