origin_period_q,target_window,t0_eligible_rows,future_4q_complete_rows,future_4q_complete_coverage_pct
20211,20212~20221,433,403,93.07
20212,20213~20222,438,414,94.52
20213,20214~20223,446,413,92.6
20214,20221~20224,449,415,92.43
20221,20222~20231,448,409,91.29
20222,20223~20232,450,404,89.78
20223,20224~20233,443,399,90.07
20224,20231~20234,441,396,89.8
20231,20232~20241,439,393,89.52
20232,20233~20242,435,389,89.43
20233,20234~20243,436,389,89.22
20234,20241~20244,430,383,89.07
20241,20242~20251,428,379,88.55
20242,20243~20252,426,384,90.14
20243,20244~20253,425,385,90.59
20244,20251~20254,419,387,92.36
20251,20252~20261,414,387,93.48
20252,20253~20262,413,387,93.7
