origin_period_q,total_rows,observed_rows,dataset,coverage_pct
20211,403,403.0,road,100.0
20212,414,414.0,road,100.0
20213,413,413.0,road,100.0
20214,415,415.0,road,100.0
20221,409,409.0,road,100.0
20222,404,404.0,road,100.0
20223,399,399.0,road,100.0
20224,396,396.0,road,100.0
20231,393,393.0,road,100.0
20232,389,389.0,road,100.0
20233,389,389.0,road,100.0
20234,383,383.0,road,100.0
20241,379,379.0,road,100.0
20242,384,384.0,road,100.0
20243,385,385.0,road,100.0
20244,387,387.0,road,100.0
20251,387,387.0,road,100.0
20252,387,387.0,road,100.0
20211,403,401.0,facility,99.5
20212,414,412.0,facility,99.52
20213,413,411.0,facility,99.52
20214,415,414.0,facility,99.76
20221,409,408.0,facility,99.76
20222,404,403.0,facility,99.75
20223,399,398.0,facility,99.75
20224,396,395.0,facility,99.75
20231,393,392.0,facility,99.75
20232,389,388.0,facility,99.74
20233,389,388.0,facility,99.74
20234,383,382.0,facility,99.74
20241,379,378.0,facility,99.74
20242,384,383.0,facility,99.74
20243,385,384.0,facility,99.74
20244,387,386.0,facility,99.74
20251,387,386.0,facility,99.74
20252,387,386.0,facility,99.74
