prediction,n,wape_pct,mae_won,spearman,top10_vs_mean_lift,fold_no,test_origin_period_q,train_origin_end,relative_mae_vs_primary_baseline
baseline_current_q_annualized,393,19.06576569678285,64068586.555215634,0.9647331091153089,3.6604251524801863,1,20231,20214,1.0
hist_gradient_boosting_corrected_v1,393,22.089224187255397,74228614.48557188,0.9621509509759655,3.6564152408526014,1,20231,20214,1.1585804912615034
random_forest_corrected_v1,393,20.828391774168455,69991714.07075599,0.9635308961419264,3.6580702192458023,1,20231,20214,1.0924497922306384
baseline_current_q_annualized,389,17.21576526512906,57010873.19717462,0.9685194962988938,3.6410375082739095,2,20232,20221,1.0
hist_gradient_boosting_corrected_v1,389,18.675858134542537,61846044.2251415,0.9660179112753784,3.6124320755567574,2,20232,20221,1.0848113834574016
random_forest_corrected_v1,389,17.266107219935453,57177583.114379324,0.9689732920989381,3.571974523968113,2,20232,20221,1.0029241775797422
baseline_current_q_annualized,389,16.917374121916044,56280158.86190788,0.9761084461876871,3.6271473533719742,3,20233,20222,1.0
hist_gradient_boosting_corrected_v1,389,19.196804687104482,63863292.82814804,0.9728050737061418,3.556023660795412,3,20233,20222,1.1347390291638402
random_forest_corrected_v1,389,17.879305185254246,59480279.20379616,0.974831253605801,3.606151035508884,3,20233,20222,1.0568605420915793
baseline_current_q_annualized,383,19.334580499443703,67148196.31818084,0.9730707814443701,3.848223328773633,4,20234,20223,1.0
hist_gradient_boosting_corrected_v1,383,18.76468608926054,65168976.66370146,0.9676969844025537,3.855827444331754,4,20234,20223,0.9705246043378309
random_forest_corrected_v1,383,18.227609841570892,63303733.12667546,0.9710570226101459,3.8559389315208445,4,20234,20223,0.9427465903434181
baseline_current_q_annualized,379,17.703847196161632,61080158.54229398,0.971877362711969,4.0797934784024195,5,20241,20224,1.0
hist_gradient_boosting_corrected_v1,379,18.740249938670406,64655858.395816736,0.9663005358603192,4.083507307810976,5,20241,20224,1.0585411030170595
random_forest_corrected_v1,379,18.073119738052203,62354188.14467794,0.9697850607168758,4.083507307810976,5,20241,20224,1.0208583217985883
baseline_current_q_annualized,384,15.57197802639899,55798078.63371869,0.9690681055237191,4.149425982582169,6,20242,20231,1.0
hist_gradient_boosting_corrected_v1,384,17.113362166642887,61321222.40622405,0.9639148384252824,4.125150549396438,6,20242,20231,1.0989844795330952
random_forest_corrected_v1,384,16.68912281849452,59801072.5275529,0.9676509358787427,4.128342673404042,6,20242,20231,1.0717407120792006
baseline_current_q_annualized,385,18.357938222693974,67683051.1417922,0.9600087897853441,4.124597595808142,7,20243,20232,1.0
hist_gradient_boosting_corrected_v1,385,20.308557321275693,74874700.36764349,0.9573251715900679,4.111974365468584,7,20243,20232,1.106254802414052
random_forest_corrected_v1,385,19.99556234647762,73720733.36822337,0.9592700693089294,4.117772796461103,7,20243,20232,1.0892052312148661
baseline_current_q_annualized,387,18.051719299836396,67476168.25207019,0.9668235190841938,4.0267881294151,8,20244,20233,1.0
hist_gradient_boosting_corrected_v1,387,17.402999186309195,65051294.10009619,0.9641258065704932,4.020623769956956,8,20244,20233,0.964063250555138
random_forest_corrected_v1,387,16.48094967056847,61604732.183889955,0.9664568537839817,4.000344190442229,8,20244,20233,0.9129850401960237
baseline_current_q_annualized,387,18.22585901724286,69002600.34636286,0.9694295135132002,3.8402938702644818,9,20251,20234,1.0
hist_gradient_boosting_corrected_v1,387,19.014909203532255,71989922.62325749,0.9686823113288604,3.8520800062925997,9,20251,20234,1.0432928942083282
random_forest_corrected_v1,387,18.39674471059306,69649568.87563764,0.9697156408112765,3.9521281052884643,9,20251,20234,1.009376002151039
baseline_current_q_annualized,387,20.516618192282,77531158.2802809,0.9545482025118747,3.885225723278834,10,20252,20241,1.0
hist_gradient_boosting_corrected_v1,387,20.971760663751844,79251116.34865698,0.955195198030318,3.9169380324432215,10,20252,20241,1.0221840883913833
random_forest_corrected_v1,387,20.731907540761043,78344724.74608697,0.9551198359923296,3.880046245902592,10,20252,20241,1.0104934130206717
