prediction,n,wape_pct,mae_won,spearman,top10_vs_mean_lift,fold_no,test_origin_period_q,train_origin_end,relative_mae_vs_primary_baseline
baseline_current_q_annualized,393,19.06576569678285,64068586.555215634,0.9647331091153089,3.6604251524801863,1,20231,20214,1.0
ridge_baseline_corrected_v1,393,21.80581522221829,73276247.18515615,0.9622895385922031,3.6553226799126155,1,20231,20214,1.1437156822869061
elasticnet_baseline_corrected_v1,393,21.582301383649998,72525151.42848179,0.9625700747226469,3.6553226799126155,1,20231,20214,1.1319923745465823
baseline_current_q_annualized,389,17.21576526512906,57010873.19717462,0.9685194962988938,3.6410375082739095,2,20232,20221,1.0
ridge_baseline_corrected_v1,389,18.77881890935333,62187004.01325563,0.9673322066585258,3.5722056006273895,2,20232,20221,1.0907919932778285
elasticnet_baseline_corrected_v1,389,18.56515989953008,61479461.448119715,0.9675868297287216,3.5722056006273895,2,20232,20221,1.0783813332500676
baseline_current_q_annualized,389,16.917374121916044,56280158.86190788,0.9761084461876871,3.6271473533719742,3,20233,20222,1.0
ridge_baseline_corrected_v1,389,19.566330396740256,65092618.69704388,0.9732246207665601,3.5774365776937715,3,20233,20222,1.1565820000039222
elasticnet_baseline_corrected_v1,389,19.47506529328659,64789000.979311526,0.9734659928363053,3.5862953478017547,3,20233,20222,1.151187244127747
baseline_current_q_annualized,383,19.334580499443703,67148196.31818084,0.9730707814443701,3.848223328773633,4,20234,20223,1.0
ridge_baseline_corrected_v1,383,19.193437412044144,66658012.22849075,0.9701567263133434,3.8423186430034684,4,20234,20223,0.992699966394222
elasticnet_baseline_corrected_v1,383,19.027557944442627,66081919.71611467,0.970220590748158,3.8313196121058994,4,20234,20223,0.9841205473783148
baseline_current_q_annualized,379,17.703847196161632,61080158.54229398,0.971877362711969,4.0797934784024195,5,20241,20224,1.0
ridge_baseline_corrected_v1,379,19.012103094115403,65593780.73839114,0.9696351697184915,4.086635798152391,5,20241,20224,1.0738967007260103
elasticnet_baseline_corrected_v1,379,18.917499196742238,65267387.215771675,0.9695467781150324,4.086635798152391,5,20241,20224,1.068553009248958
baseline_current_q_annualized,384,15.57197802639899,55798078.63371869,0.9690681055237191,4.149425982582169,6,20242,20231,1.0
ridge_baseline_corrected_v1,384,17.432285050971444,62463998.497205496,0.968042792716422,4.155217880186372,6,20242,20231,1.119465043003445
elasticnet_baseline_corrected_v1,384,17.223093646826303,61714416.24129682,0.9681568105523719,4.159207155815844,6,20242,20231,1.1060312066731792
baseline_current_q_annualized,385,18.357938222693974,67683051.1417922,0.9600087897853441,4.124597595808142,7,20243,20232,1.0
ridge_baseline_corrected_v1,385,21.081548004864494,77724604.71609555,0.9588524493641074,4.117443990261101,7,20243,20232,1.1483614199552983
elasticnet_baseline_corrected_v1,385,21.03071184481003,77537179.17957394,0.9588753700962249,4.124597595808142,7,20243,20232,1.1455922549522464
baseline_current_q_annualized,387,18.051719299836396,67476168.25207019,0.9668235190841938,4.0267881294151,8,20244,20233,1.0
ridge_baseline_corrected_v1,387,18.09384164213126,67633618.86431658,0.9657740405936377,4.03339348482827,8,20244,20233,1.002333425508962
elasticnet_baseline_corrected_v1,387,17.887485588464745,66862273.17885819,0.9658166905382133,4.020936713840246,8,20244,20233,0.9909020460243285
baseline_current_q_annualized,387,18.22585901724286,69002600.34636286,0.9694295135132002,3.8402938702644818,9,20251,20234,1.0
ridge_baseline_corrected_v1,387,18.857673314817013,71394631.87845042,0.9683680267858216,3.8604356274623854,9,20251,20234,1.0346658172312437
elasticnet_baseline_corrected_v1,387,18.820875272806187,71255315.50472014,0.9686077774451359,3.8604356274623854,9,20251,20234,1.0326468154395578
baseline_current_q_annualized,387,20.516618192282,77531158.2802809,0.9545482025118747,3.885225723278834,10,20252,20241,1.0
ridge_baseline_corrected_v1,387,20.949841682524383,79168285.73851638,0.9546482021392052,3.9169380324432215,10,20252,20241,1.0211157358479945
elasticnet_baseline_corrected_v1,387,20.808341563261735,78633564.66312207,0.9545289479252458,3.9169380324432215,10,20252,20241,1.0142188818959197
