prediction,n,wape_pct,mae_won,spearman,top10_vs_mean_lift,fold_no,test_origin_period_q,train_origin_end,relative_mae_vs_primary_baseline
baseline_current_q_annualized,393,19.06576569678285,64068586.555215634,0.9647331091153089,3.6604251524801863,1,20231,20214,1.0
ridge_log_v1,393,21.746803085781288,73077942.84053913,0.962310494779537,3.639843672391403,1,20231,20214,1.1406204939070888
elasticnet_log_v1,393,21.564677656724175,72465928.66806766,0.962678611957047,3.6521698191154024,1,20231,20214,1.1310680095246837
baseline_current_q_annualized,389,17.21576526512906,57010873.19717462,0.9685194962988938,3.6410375082739095,2,20232,20221,1.0
ridge_log_v1,389,19.57756674043948,64832097.65929921,0.9669658674614549,3.5677890334560316,2,20232,20221,1.1371882945043577
elasticnet_log_v1,389,19.146677095552377,63405184.91227239,0.9672225291471045,3.572205600627389,2,20232,20221,1.1121595119755974
baseline_current_q_annualized,389,16.917374121916044,56280158.86190788,0.9761084461876871,3.6271473533719742,3,20233,20222,1.0
ridge_log_v1,389,20.164982972863935,67084196.22228662,0.9724481121401589,3.5917812247794525,3,20233,20222,1.1919688497484189
elasticnet_log_v1,389,19.876981551576474,66126082.65065877,0.9727910072595096,3.6047926236046157,3,20233,20222,1.1749448471335946
baseline_current_q_annualized,383,19.334580499443703,67148196.31818084,0.9730707814443701,3.848223328773633,4,20234,20223,1.0
ridge_log_v1,383,19.797634459321973,68756363.51915589,0.9693674985988273,3.809030082610141,4,20234,20223,1.0239495219403179
elasticnet_log_v1,383,19.526959512398033,67816320.65269779,0.9696075776113079,3.809030082610141,4,20234,20223,1.0099499967408065
baseline_current_q_annualized,379,17.703847196161632,61080158.54229398,0.971877362711969,4.0797934784024195,5,20241,20224,1.0
ridge_log_v1,379,20.010627331002866,69038795.71291219,0.9694475855425724,4.1208123357142545,5,20241,20224,1.130298240223253
elasticnet_log_v1,379,19.807015725723804,68336313.9871214,0.9698260603134926,4.102801674023717,5,20241,20224,1.118797259502904
baseline_current_q_annualized,384,15.57197802639899,55798078.63371869,0.9690681055237191,4.149425982582169,6,20242,20231,1.0
ridge_log_v1,384,18.86785420837444,67607982.17051391,0.9677948357125903,4.154094051921961,6,20242,20231,1.2116543046996338
elasticnet_log_v1,384,18.495457683515035,66273597.38382834,0.9680851785290427,4.158953453211177,6,20242,20231,1.187739775393974
baseline_current_q_annualized,385,18.357938222693974,67683051.1417922,0.9600087897853441,4.124597595808142,7,20243,20232,1.0
ridge_log_v1,385,22.4160352650485,82644665.36688522,0.9587100884866429,4.137200492841967,7,20243,20232,1.221054074435109
elasticnet_log_v1,385,22.308987091672762,82249994.30386415,0.9587847385774847,4.137200492841968,7,20243,20232,1.2152229090788922
baseline_current_q_annualized,387,18.051719299836396,67476168.25207019,0.9668235190841938,4.0267881294151,8,20244,20233,1.0
ridge_log_v1,387,19.341744387379887,72298199.24040186,0.965572592069015,4.045243779093843,8,20244,20233,1.0714627269633636
elasticnet_log_v1,387,19.05470999006962,71225283.08403249,0.9657115149467352,4.045243779093843,8,20244,20233,1.0555620588584218
baseline_current_q_annualized,387,18.22585901724286,69002600.34636286,0.9694295135132002,3.8402938702644818,9,20251,20234,1.0
ridge_log_v1,387,18.68724701624634,70749402.60516039,0.9691061192732616,3.852924341271309,9,20251,20234,1.0253150207387742
elasticnet_log_v1,387,18.813722503778138,71228235.31814864,0.9692705078945877,3.8529243412713097,9,20251,20234,1.0322543637575117
baseline_current_q_annualized,387,20.516618192282,77531158.2802809,0.9545482025118747,3.885225723278834,10,20252,20241,1.0
ridge_log_v1,387,20.684182845355213,78164375.77830341,0.9553877438966066,3.9357006361489657,10,20252,20241,1.0081672647754518
elasticnet_log_v1,387,20.68690948773095,78174679.60808791,0.9553353631394335,3.9169380324432215,10,20252,20241,1.0083001639867244
