fold_no,test_origin_period_q,train_origin_start,train_origin_end,train_origin_count,train_rows,test_rows,test_rows_with_primary_baseline,outcome_embargo_quarters
1,20231,20211,20214,4,1645,393,393,4
2,20232,20211,20221,5,2054,389,389,4
3,20233,20211,20222,6,2458,389,389,4
4,20234,20211,20223,7,2857,383,383,4
5,20241,20211,20224,8,3253,379,379,4
6,20242,20211,20231,9,3646,384,384,4
7,20243,20211,20232,10,4035,385,385,4
8,20244,20211,20233,11,4424,387,387,4
9,20251,20211,20234,12,4807,387,387,4
10,20252,20211,20241,13,5186,387,387,4
