TRDAR_CD,TRDAR_CD_NM,TRDAR_SE_CD,TRDAR_SE_CD_NM,recent_4q_period_rows,recent_4q_sales_observed_q,recent_4q_positive_store_q,recent_4q_total_sales_won,recent_4q_total_transactions,recent_4q_avg_store_count,recent_4q_complete_observation,recent_4q_sales_per_store_won,recent_4q_average_ticket_won,prior_year_4q_period_rows,prior_year_4q_sales_observed_q,prior_year_4q_positive_store_q,prior_year_4q_total_sales_won,prior_year_4q_total_transactions,prior_year_4q_avg_store_count,prior_year_4q_complete_observation,prior_year_4q_sales_per_store_won,prior_year_4q_average_ticket_won,recent_4q_vs_prior_year_pct,seoul_observed_percentile,top_10pct_by_recent_actual,display_metric_name,display_period,forecast_available,forecast_status
3120068,사가정역,D,발달상권,4,4,4,3723924576.0,363818.0,1.0,1,3723924576.0,10235.679861908977,4.0,4.0,4.0,3855386714.0,380312.0,1.0,1.0,3855386714.0,10137.431146006436,-3.4098301351359606,100.0,1,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3130170,제일시장,R,전통시장,4,4,4,11042500983.0,1429788.0,3.0,1,3680833661.0,7723.1736334337675,4.0,4.0,4.0,11832479924.0,1502537.0,3.0,1.0,3944159974.6666665,7875.000698152525,-6.676359867703418,99.74937343358395,1,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3130147,쌍문역동측상점가,R,전통시장,4,4,4,10799006338.0,1293776.0,3.25,1,3322771180.923077,8346.890294765091,4.0,4.0,4.0,3848009011.0,405999.0,4.0,1.0,962002252.75,9477.878051423771,245.4016008200119,99.49874686716792,1,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3111044,남천초등학교,A,골목상권,4,4,4,2881292394.0,216792.0,1.0,1,2881292394.0,13290.58449573785,4.0,4.0,4.0,2773189267.0,206317.0,1.25,1.0,2218551413.6,13441.399724695493,29.87268973517199,99.24812030075188,1,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3120061,올림픽대교북단,D,발달상권,4,4,4,4177834424.0,393511.0,1.5,1,2785222949.3333335,10616.817379946177,4.0,4.0,4.0,4526824584.0,426936.0,1.0,1.0,4526824584.0,10603.05194221148,-38.47292074939978,98.99749373433583,1,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3120069,상봉역,D,발달상권,4,4,4,6602629880.0,615203.0,2.75,1,2400956320.0,10732.440966640279,4.0,4.0,4.0,1715727442.0,168575.0,3.0,1.0,571909147.3333334,10177.828515497553,319.81428889449444,98.74686716791979,1,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3120120,화곡역,D,발달상권,4,4,4,8393464950.0,1164694.0,4.25,1,1974932929.4117646,7206.583832319906,4.0,4.0,4.0,7626666816.0,1043313.0,4.5,1.0,1694814848.0,7310.046760655719,16.52794591352109,98.49624060150376,1,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3120129,구로디지털단지,D,발달상권,4,4,4,2861091562.0,217542.0,1.5,1,1907394374.6666667,13151.904285149534,4.0,4.0,4.0,2820889276.0,232690.0,1.5,1.0,1880592850.6666667,12122.950174051313,1.4251635589542344,98.24561403508771,1,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3120241,거여역,D,발달상권,4,4,4,1798321406.0,155939.0,1.0,1,1798321406.0,11532.210710598374,4.0,4.0,4.0,1728594559.0,165371.0,1.0,1.0,1728594559.0,10452.827636042595,4.033730560874682,97.99498746867168,1,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3120133,서울시흥동우체국(홈플러스시흥점),D,발달상권,4,4,4,2533869977.0,227337.0,1.5,1,1689246651.3333333,11145.875845111002,4.0,4.0,4.0,2492088642.0,233592.0,1.0,1.0,2492088642.0,10668.55304120004,-32.21562737119793,97.74436090225564,1,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
