TRDAR_CD,TRDAR_CD_NM,TRDAR_SE_CD_NM,display_as_of,display_window,recent_4q_sales_per_store_won,seoul_observed_percentile,actual_market_level,recent_4q_vs_prior_year_pct,year_over_year_trend,recent_4q_avg_store_count,recent_4q_quarterly_variation_pct,quarterly_variation_flag,observation_scope,metric_interpretation,permitted_decision_use,prohibited_interpretation,forecast_status,recent_4q_total_sales_won,recent_4q_total_sales_percentile,store_count_interpretation,field_check_risks,field_check_priority,priority_interpretation
3120249,고덕역,발달상권,2026Q2,2025Q3~2026Q2 실제 관측,1592782805.4545455,96.74185463659148,관측 상권 상위 10%,14.559885996666356,전년동기 대비 증가,5.5,11.308224021056462,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음,8760305430.0,96.49122807017544,평균 5개 이상: 상권 내 비교 기반 존재,특이 위험신호 없음,현장검증 우선,"출점 추천이 아니라, 임대료·경쟁점·브랜드 적합도를 추가 조사할 순서"
3120227,잠실역,발달상권,2026Q2,2025Q3~2026Q2 실제 관측,1004869835.4086956,91.72932330827066,관측 상권 상위 10%,3.8647606790384703,전년동기 수준 유지,28.75,9.9426780424543,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음,28890007768.0,99.74937343358395,평균 5개 이상: 상권 내 비교 기반 존재,특이 위험신호 없음,현장검증 우선,"출점 추천이 아니라, 임대료·경쟁점·브랜드 적합도를 추가 조사할 순서"
3001495,잠실 관광특구,관광특구,2026Q2,2025Q3~2026Q2 실제 관측,947959922.7741936,91.47869674185463,관측 상권 상위 10%,5.379135848268102,전년동기 수준 유지,31.0,3.0725786744584496,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음,29386757606.0,100.0,평균 5개 이상: 상권 내 비교 기반 존재,특이 위험신호 없음,현장검증 우선,"출점 추천이 아니라, 임대료·경쟁점·브랜드 적합도를 추가 조사할 순서"
3111004,삼전역 1번,골목상권,2026Q2,2025Q3~2026Q2 실제 관측,873770284.7272727,90.22556390977444,관측 상권 상위 10%,99.28968549373064,전년동기 대비 증가,5.5,12.97928219292832,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음,4805736566.0,90.72681704260651,평균 5개 이상: 상권 내 비교 기반 존재,급격한 증가 원인 확인,현장검증 우선,"출점 추천이 아니라, 임대료·경쟁점·브랜드 적합도를 추가 조사할 순서"
3120068,사가정역,발달상권,2026Q2,2025Q3~2026Q2 실제 관측,3723924576.0,100.0,관측 상권 상위 10%,-3.409830135135961,전년동기 수준 유지,1.0,3.5788917547684043,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음,3723924576.0,86.46616541353383,평균 2개 미만: 소수 점포 매출 집중 가능,소수 점포 분모,현장검증 필요,"출점 추천이 아니라, 임대료·경쟁점·브랜드 적합도를 추가 조사할 순서"
3130170,제일시장,전통시장,2026Q2,2025Q3~2026Q2 실제 관측,3680833661.0,99.74937343358395,관측 상권 상위 10%,-6.676359867703418,전년동기 수준 유지,3.0,9.400666499505668,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음,11042500983.0,98.49624060150376,평균 2~5개: 점포별 편차 확인 필요,점포별 편차 가능,현장검증 필요,"출점 추천이 아니라, 임대료·경쟁점·브랜드 적합도를 추가 조사할 순서"
3130147,쌍문역동측상점가,전통시장,2026Q2,2025Q3~2026Q2 실제 관측,3322771180.923077,99.49874686716792,관측 상권 상위 10%,245.4016008200119,전년동기 대비 증가,3.25,4.453326232778359,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음,10799006338.0,98.24561403508771,평균 2~5개: 점포별 편차 확인 필요,점포별 편차 가능 / 급격한 증가 원인 확인,현장검증 필요,"출점 추천이 아니라, 임대료·경쟁점·브랜드 적합도를 추가 조사할 순서"
3111044,남천초등학교,골목상권,2026Q2,2025Q3~2026Q2 실제 관측,2881292394.0,99.24812030075188,관측 상권 상위 10%,29.87268973517199,전년동기 대비 증가,1.0,4.320885598700294,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음,2881292394.0,82.20551378446115,평균 2개 미만: 소수 점포 매출 집중 가능,소수 점포 분모,현장검증 필요,"출점 추천이 아니라, 임대료·경쟁점·브랜드 적합도를 추가 조사할 순서"
3120061,올림픽대교북단,발달상권,2026Q2,2025Q3~2026Q2 실제 관측,2785222949.3333335,98.99749373433583,관측 상권 상위 10%,-38.47292074939978,전년동기 대비 감소,1.5,36.91962879612346,분기별 변동 주의,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음,4177834424.0,89.22305764411027,평균 2개 미만: 소수 점포 매출 집중 가능,소수 점포 분모 / 전년동기 대비 감소 / 분기별 변동 주의,현장검증 필요,"출점 추천이 아니라, 임대료·경쟁점·브랜드 적합도를 추가 조사할 순서"
3120069,상봉역,발달상권,2026Q2,2025Q3~2026Q2 실제 관측,2400956320.0,98.7468671679198,관측 상권 상위 10%,319.81428889449444,전년동기 대비 증가,2.75,15.53979077003542,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음,6602629880.0,94.9874686716792,평균 2~5개: 점포별 편차 확인 필요,점포별 편차 가능 / 급격한 증가 원인 확인,현장검증 필요,"출점 추천이 아니라, 임대료·경쟁점·브랜드 적합도를 추가 조사할 순서"
