period_q,sales_rows,store_rows,sales_area_count,store_area_count,matched_sales_store_rows,sales_observed_rows,future_sales_label_eligible_rows,store_rows_without_sales_observation,sales_observation_coverage_pct,nonpositive_sales_rows,nonpositive_store_rows
20211,438,1128,438,1128,438,438,433,690,38.83,0,128
20212,445,1139,445,1139,445,445,438,694,39.07,0,122
20213,452,1149,452,1149,452,452,446,697,39.34,0,122
20214,453,1156,453,1156,453,453,449,703,39.19,0,112
20221,452,1163,452,1163,452,452,448,711,38.87,0,112
20222,455,1160,455,1160,455,455,450,705,39.22,0,105
20223,448,1171,448,1171,448,448,443,723,38.26,0,111
20224,447,1174,447,1174,447,447,441,727,38.07,0,106
20231,445,1190,445,1190,445,445,439,745,37.39,0,112
20232,441,1196,441,1196,441,441,435,755,36.87,0,112
20233,442,1198,442,1198,442,442,436,756,36.89,0,116
20234,436,1199,436,1199,436,436,430,763,36.36,0,109
20241,434,1200,434,1200,434,434,428,766,36.17,0,111
20242,431,1196,431,1196,431,431,426,765,36.04,0,102
20243,430,1192,430,1192,430,430,425,762,36.07,0,101
20244,424,1191,424,1191,424,424,419,767,35.6,0,96
20251,419,1193,419,1193,419,419,414,774,35.12,0,99
20252,418,1193,418,1193,418,418,413,775,35.04,0,97
20253,423,1202,423,1202,423,423,419,779,35.19,0,98
20254,430,1196,430,1196,430,430,426,766,35.95,0,100
20261,430,1192,430,1192,430,430,426,762,36.07,0,100
20262,433,1186,433,1186,433,433,429,753,36.51,0,95
