dataset,download_seq,years_found_near_call,korean_year_labels_near_call,context_preview
sales,51,"2023, 2024, 2025, 2026","2023년, 2024년, 2025년","il-cont-tit""> <h2>파일내려받기</h2> <div class=""fl-item-r mgt-xxxs only-d""> <span>* 파일에 이상이 있는 경우 ‘오류신고’를 통해 운영자에게 알려주세요.</span> <a href=""javascript:goNotice();"" id=""BtnErrorNotice"" class=""btn-base-s"">오류신고</a> </div> </div> <div class=""tbl-base-d list-download""> <table> <caption> <strong>파일내려받기</strong> <span class=""ui-caption""></span> </caption> <colgroup> <col class=""col1""> <col class=""col2""> <col class=""col3""> <col class=""col4""> <col class=""col5""> <"
sales,51,"2023, 2024, 2025, 2026","2023년, 2024년, 2025년","<a href=""javascript:goNotice();"" id=""BtnErrorNotice"" class=""btn-base-s"">오류신고</a> </div> </div> <div class=""tbl-base-d list-download""> <table> <caption> <strong>파일내려받기</strong> <span class=""ui-caption""></span> </caption> <colgroup> <col class=""col1""> <col class=""col2""> <col class=""col3""> <col class=""col4""> <col class=""col5""> <col class=""col6""> </colgroup> <thead> <tr> <th scope=""col"">NO</th> <th scope=""col"">항목</th> <th scope=""col"">파일명</th> <th sco"
sales,50,"2022, 2023, 2024, 2025, 2026","2022년, 2023년, 2024년, 2025년","l2""> <col class=""col3""> <col class=""col4""> <col class=""col5""> <col class=""col6""> </colgroup> <thead> <tr> <th scope=""col"">NO</th> <th scope=""col"">항목</th> <th scope=""col"">파일명</th> <th scope=""col"">용량 (MB)</th> <th scope=""col"">수정일</th> <th scope=""col"">내려받기</th> </tr> </thead> <tbody> <tr id=""fileTr_1""> <td>1</td> <td>데이터</td> <td class=""align-l"" style=""cursor:pointer""><span title=""서울시 상권분석서비스(추정매출-상권)_2025년.zip"" onclick=""javascript:downloadFile('51'"
sales,50,"2022, 2023, 2024, 2025, 2026","2022년, 2023년, 2024년, 2025년","> <tr> <th scope=""col"">NO</th> <th scope=""col"">항목</th> <th scope=""col"">파일명</th> <th scope=""col"">용량 (MB)</th> <th scope=""col"">수정일</th> <th scope=""col"">내려받기</th> </tr> </thead> <tbody> <tr id=""fileTr_1""> <td>1</td> <td>데이터</td> <td class=""align-l"" style=""cursor:pointer""><span title=""서울시 상권분석서비스(추정매출-상권)_2025년.zip"" onclick=""javascript:downloadFile('51');"">서울시 상권분석서비스(추정매출-상권)_2025년.zip</span></td> <td>13.71</td> <td>2026.05.18.</td> <td><a href=""jav"
sales,49,"2021, 2022, 2023, 2024, 2025, 2026","2021년, 2022년, 2023년, 2024년, 2025년","<td>1</td> <td>데이터</td> <td class=""align-l"" style=""cursor:pointer""><span title=""서울시 상권분석서비스(추정매출-상권)_2025년.zip"" onclick=""javascript:downloadFile('51');"">서울시 상권분석서비스(추정매출-상권)_2025년.zip</span></td> <td>13.71</td> <td>2026.05.18.</td> <td><a href=""javascript:downloadFile('51');"" title=""서울시 상권분석서비스(추정매출-상권)_2025년.zip""><span class=""hide"">서울시 상권분석서비스(추정매출-상권)_2025년.zip 다운로드</span></a></td> </tr> <tr id=""fileTr_2""> <td>2</td> <td>데이터</td> <td class=""ali"
sales,49,"2021, 2022, 2023, 2024, 2025, 2026","2021년, 2022년, 2023년, 2024년, 2025년","script:downloadFile('51');"">서울시 상권분석서비스(추정매출-상권)_2025년.zip</span></td> <td>13.71</td> <td>2026.05.18.</td> <td><a href=""javascript:downloadFile('51');"" title=""서울시 상권분석서비스(추정매출-상권)_2025년.zip""><span class=""hide"">서울시 상권분석서비스(추정매출-상권)_2025년.zip 다운로드</span></a></td> </tr> <tr id=""fileTr_2""> <td>2</td> <td>데이터</td> <td class=""align-l"" style=""cursor:pointer""><span title=""서울시 상권분석서비스(추정매출-상권)_2024년.zip"" onclick=""javascript:downloadFile('50');"">서울시 상권분석서비"
sales,48,"2021, 2022, 2023, 2024, 2025","2021년, 2022년, 2023년, 2024년","<td>2</td> <td>데이터</td> <td class=""align-l"" style=""cursor:pointer""><span title=""서울시 상권분석서비스(추정매출-상권)_2024년.zip"" onclick=""javascript:downloadFile('50');"">서울시 상권분석서비스(추정매출-상권)_2024년.zip</span></td> <td>14.21</td> <td>2025.03.14.</td> <td><a href=""javascript:downloadFile('50');"" title=""서울시 상권분석서비스(추정매출-상권)_2024년.zip""><span class=""hide"">서울시 상권분석서비스(추정매출-상권)_2024년.zip 다운로드</span></a></td> </tr> <tr id=""fileTr_3""> <td>3</td> <td>데이터</td> <td class=""ali"
sales,48,"2021, 2022, 2023, 2024, 2025","2021년, 2022년, 2023년, 2024년","script:downloadFile('50');"">서울시 상권분석서비스(추정매출-상권)_2024년.zip</span></td> <td>14.21</td> <td>2025.03.14.</td> <td><a href=""javascript:downloadFile('50');"" title=""서울시 상권분석서비스(추정매출-상권)_2024년.zip""><span class=""hide"">서울시 상권분석서비스(추정매출-상권)_2024년.zip 다운로드</span></a></td> </tr> <tr id=""fileTr_3""> <td>3</td> <td>데이터</td> <td class=""align-l"" style=""cursor:pointer""><span title=""서울시_상권분석서비스(추정매출-상권)_2023년.zip"" onclick=""javascript:downloadFile('49');"">서울시_상권분석서비"
sales,47,"2021, 2022, 2023, 2025","2021년, 2022년, 2023년","<td>3</td> <td>데이터</td> <td class=""align-l"" style=""cursor:pointer""><span title=""서울시_상권분석서비스(추정매출-상권)_2023년.zip"" onclick=""javascript:downloadFile('49');"">서울시_상권분석서비스(추정매출-상권)_2023년.zip</span></td> <td>13.54</td> <td>2025.01.13.</td> <td><a href=""javascript:downloadFile('49');"" title=""서울시_상권분석서비스(추정매출-상권)_2023년.zip""><span class=""hide"">서울시_상권분석서비스(추정매출-상권)_2023년.zip 다운로드</span></a></td> </tr> <tr id=""fileTr_4""> <td>4</td> <td>데이터</td> <td class=""ali"
sales,47,"2021, 2022, 2023, 2025","2021년, 2022년, 2023년","script:downloadFile('49');"">서울시_상권분석서비스(추정매출-상권)_2023년.zip</span></td> <td>13.54</td> <td>2025.01.13.</td> <td><a href=""javascript:downloadFile('49');"" title=""서울시_상권분석서비스(추정매출-상권)_2023년.zip""><span class=""hide"">서울시_상권분석서비스(추정매출-상권)_2023년.zip 다운로드</span></a></td> </tr> <tr id=""fileTr_4""> <td>4</td> <td>데이터</td> <td class=""align-l"" style=""cursor:pointer""><span title=""서울시_상권분석서비스(추정매출-상권)_2022년.zip"" onclick=""javascript:downloadFile('48');"">서울시_상권분석서비"
