period,dataset,status,api_total_rows,bakery_rows,path
20231,store,collected,76826,1190,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_store_20231.parquet
20231,sales,collected,22106,445,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_sales_20231.parquet
20232,store,collected,76871,1196,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_store_20232.parquet
20232,sales,collected,22083,441,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_sales_20232.parquet
20233,store,collected,76988,1198,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_store_20233.parquet
20233,sales,collected,22017,442,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_sales_20233.parquet
20234,store,collected,77056,1199,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_store_20234.parquet
20234,sales,collected,22040,436,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_sales_20234.parquet
20241,store,collected,77025,1200,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_store_20241.parquet
20241,sales,collected,21910,434,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_sales_20241.parquet
20242,store,collected,76824,1196,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_store_20242.parquet
20242,sales,collected,21887,431,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_sales_20242.parquet
20243,store,collected,76595,1192,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_store_20243.parquet
20243,sales,collected,21718,430,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_sales_20243.parquet
20244,store,collected,76445,1191,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_store_20244.parquet
20244,sales,collected,21664,424,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_sales_20244.parquet
20251,store,collected,76383,1193,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_store_20251.parquet
20251,sales,collected,21427,419,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_sales_20251.parquet
20252,store,collected,76238,1193,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_store_20252.parquet
20252,sales,collected,21452,418,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_sales_20252.parquet
20253,store,collected,76169,1202,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_store_20253.parquet
20253,sales,collected,21520,423,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_sales_20253.parquet
20254,store,collected,75985,1196,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_store_20254.parquet
20254,sales,collected,21333,430,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_sales_20254.parquet
20261,store,collected,75972,1192,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_store_20261.parquet
20261,sales,collected,21188,430,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_sales_20261.parquet
20262,store,collected,75912,1186,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_store_20262.parquet
20262,sales,collected,21133,433,PART-II/DATA-03/raw/historical_bakery_panel/seoul_bakery_sales_20262.parquet
