n,wape_pct,mae_won,spearman,top10_vs_mean_lift,fold_no,test_cohort,prediction
43,22.78186791435229,134416435.40528288,0.835357293166542,1.2164739966283824,1,2023-01-01~2023-06-30,baseline_brand_prior_mean
43,15.6796569324589,92512326.08152795,0.8564840384303916,1.4889298705859069,1,2023-01-01~2023-06-30,baseline_brand_demand_band_prior_mean
39,19.04391228844353,113077702.47137226,0.8186309883926305,1.1533925810604535,2,2023-07-01~2023-12-31,baseline_brand_prior_mean
39,22.021826088849522,130759765.1488004,0.7823140685128233,1.4130184178640237,2,2023-07-01~2023-12-31,baseline_brand_demand_band_prior_mean
32,17.477385694590872,93661617.59937921,0.8709613307271609,1.3122798151454174,3,2024-01-01~2024-06-30,baseline_brand_prior_mean
32,15.18984559776669,81402649.9519293,0.8897260878203608,1.2663874355715483,3,2024-01-01~2024-06-30,baseline_brand_demand_band_prior_mean
45,24.123620629261104,134608919.98305133,0.6001613640409184,1.11536159563674,4,2024-07-01~2024-12-31,baseline_brand_prior_mean
45,28.198586031216404,157347077.7478174,0.5196543133908123,1.1969043209328563,4,2024-07-01~2024-12-31,baseline_brand_demand_band_prior_mean
32,33.838422199543935,169026840.68583333,0.4611674635198155,1.0076857029892565,5,2025-01-01~2025-06-30,baseline_brand_prior_mean
32,34.96756992190271,174667064.42476642,0.42976623466598496,0.9226548681319502,5,2025-01-01~2025-06-30,baseline_brand_demand_band_prior_mean
