n,wape_pct,mae_won,spearman,top10_vs_mean_lift,fold_no,test_cohort,prediction,relative_mae_vs_primary_baseline
43,22.78186791435229,134416435.40528288,0.835357293166542,1.2164739966283824,1,2023-01-01~2023-06-30,baseline_brand_prior_mean,1.4529570393336158
43,15.6796569324589,92512326.08152795,0.8564840384303916,1.4889298705859069,1,2023-01-01~2023-06-30,baseline_brand_demand_band_prior_mean,1.0
43,9.197453003988072,54266351.30409307,0.9530353367562671,1.5527678627048076,1,2023-01-01~2023-06-30,ridge_brand_aware_v1,0.586585091982986
43,12.425486361804603,73312231.95612216,0.9153515090659082,1.5825831618688777,1,2023-01-01~2023-06-30,hist_gradient_boosting_brand_aware_v1,0.7924590707136107
39,19.04391228844353,113077702.47137226,0.8186309883926305,1.1533925810604535,2,2023-07-01~2023-12-31,baseline_brand_prior_mean,0.8647744383961953
39,22.021826088849522,130759765.1488004,0.7823140685128233,1.4130184178640237,2,2023-07-01~2023-12-31,baseline_brand_demand_band_prior_mean,1.0
39,6.779693175974367,40256020.72664659,0.9704453441295546,1.4539312229028094,2,2023-07-01~2023-12-31,ridge_brand_aware_v1,0.30786244286104775
39,13.801543365916833,81949905.60442443,0.8933198380566802,1.336846358022652,2,2023-07-01~2023-12-31,hist_gradient_boosting_brand_aware_v1,0.626721113418704
32,17.477385694590872,93661617.59937921,0.8709613307271609,1.3122798151454174,3,2024-01-01~2024-06-30,baseline_brand_prior_mean,1.1505966655224271
32,15.18984559776669,81402649.9519293,0.8897260878203608,1.2663874355715483,3,2024-01-01~2024-06-30,baseline_brand_demand_band_prior_mean,1.0
32,7.832579871684309,41974933.412686445,0.9626099706744867,1.5491292116067819,3,2024-01-01~2024-06-30,ridge_brand_aware_v1,0.5156457859476798
32,10.12176325057397,54242707.43765267,0.9412519515290226,1.4795020765399636,3,2024-01-01~2024-06-30,hist_gradient_boosting_brand_aware_v1,0.6663506344042192
45,24.123620629261104,134608919.98305133,0.6001613640409184,1.11536159563674,4,2024-07-01~2024-12-31,baseline_brand_prior_mean,0.8554904349656314
45,28.198586031216404,157347077.7478174,0.5196543133908123,1.1969043209328563,4,2024-07-01~2024-12-31,baseline_brand_demand_band_prior_mean,1.0
45,5.3317352616619065,29750887.57353932,0.9702239789196311,1.3900942478831622,4,2024-07-01~2024-12-31,ridge_brand_aware_v1,0.18907810681569523
45,14.716858333059058,82119530.73717886,0.7119894598155467,1.283420972409564,4,2024-07-01~2024-12-31,hist_gradient_boosting_brand_aware_v1,0.5219005774533233
32,33.838422199543935,169026840.68583333,0.4611674635198155,1.0076857029892565,5,2025-01-01~2025-06-30,baseline_brand_prior_mean,0.9677087162510681
32,34.96756992190271,174667064.42476642,0.42976623466598496,0.9226548681319502,5,2025-01-01~2025-06-30,baseline_brand_demand_band_prior_mean,1.0
32,6.995926321083612,34945462.78636967,0.9457478005865102,1.4835635456917617,5,2025-01-01~2025-06-30,ridge_brand_aware_v1,0.2000689878281064
32,17.129513536247458,85563905.3867041,0.6492530501101846,1.240747769779303,5,2025-01-01~2025-06-30,hist_gradient_boosting_brand_aware_v1,0.48986857177964804
