scenario_id,brand_id,scenario_profile,size_scenario,store_area_m2,monthly_rent_won,initial_investment_won,predicted_first_12m_sales_won,interval_80_lower_won,interval_80_upper_won,interval_90_lower_won,interval_90_upper_won,sales_investment_efficiency,brand_scenario_rank_by_predicted_sales,brand_scenario_rank_by_efficiency,synthetic_only_notice,interpretation_limit
BRAND_ALPHA_HIGH_L,BRAND_ALPHA,수요 상위·경쟁 확인,대형,94.887,10117027.700000001,196840688.20000002,1004404240.5815245,883391389.2960463,1141994240.271555,856747853.3946499,1177508498.5336957,3.1560721317426466,1,4,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_ALPHA_HIGH_M,BRAND_ALPHA,수요 상위·경쟁 확인,중형,72.99,7782329.0,151415914.0,968059082.6799003,851425176.6497419,1100670279.954138,825745758.0621763,1134899426.8329735,3.9544273312154705,2,2,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_ALPHA_HIGH_S,BRAND_ALPHA,수요 상위·경쟁 확인,소형,51.092999999999996,5447630.3,105991139.8,933029102.9189161,820615686.5639849,1060841659.6608653,795865497.9465331,1093832197.9231238,5.4447618087642535,3,1,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_ALPHA_MID_L,BRAND_ALPHA,수요 중간·균형,대형,137.748,7301175.7,275801563.7,742693073.4024471,653211764.1420431,844432129.8961928,633510563.3980058,870692665.8058183,2.0436462442876775,4,7,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_ALPHA_MID_M,BRAND_ALPHA,수요 중간·균형,중형,105.96,5616289.0,212155049.0,707350658.9229933,622127482.1658306,804248275.4905034,603363799.255791,829259155.5509516,2.530314257737514,5,6,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_ALPHA_MID_S,BRAND_ALPHA,수요 중간·균형,소형,74.172,3931402.3,148508534.29999998,673690078.1703999,592522402.857937,765976643.6256378,574651624.2732826,789797335.0064573,3.442720863886958,6,3,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_ALPHA_LOW_L,BRAND_ALPHA,수요 하위·경쟁 확인,대형,169.819,7225921.3,322527660.0,642978717.7881138,565511215.3073232,731058236.0301445,548455107.9467149,753793018.8304898,1.571158087634546,7,9,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_ALPHA_LOW_M,BRAND_ALPHA,수요 하위·경쟁 확인,중형,130.63,5558401.0,248098200.0,606470986.3480217,533402016.34313315,689549431.7654129,517314338.83679444,710993354.8209937,1.9265339573175717,8,8,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_ALPHA_LOW_S,BRAND_ALPHA,수요 하위·경쟁 확인,소형,91.44099999999999,3890880.6999999997,173668740.0,572036129.8195815,503115947.7225889,650397458.6588764,487941713.5274117,670623815.7809987,2.595924510623403,9,5,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_BETA_HIGH_L,BRAND_BETA,수요 상위·경쟁 확인,대형,94.887,10117027.700000001,196840688.20000002,787848139.4451965,692926447.6519458,895772838.3980405,672027431.7519854,923629991.0988907,2.4756024083576706,1,4,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
