brand_id,store_id,opening_month,expected_sales_month_count,actual_sales_month_count,missing_sales_month_count,extra_sales_month_count,training_input_status
BRAND_ALPHA,BRAND_ALPHA_015,2021-01-01,66,66,0,0,PASS
BRAND_ALPHA,BRAND_ALPHA_026,2021-01-01,66,66,0,0,PASS
BRAND_ALPHA,BRAND_ALPHA_071,2021-01-01,66,66,0,0,PASS
BRAND_ALPHA,BRAND_ALPHA_077,2021-01-01,66,66,0,0,PASS
BRAND_ALPHA,BRAND_ALPHA_114,2021-01-01,66,66,0,0,PASS
BRAND_BETA,BRAND_BETA_025,2021-01-01,66,66,0,0,PASS
BRAND_BETA,BRAND_BETA_037,2021-01-01,66,66,0,0,PASS
BRAND_BETA,BRAND_BETA_064,2021-01-01,28,28,0,0,PASS
BRAND_BETA,BRAND_BETA_081,2021-01-01,66,66,0,0,PASS
BRAND_BETA,BRAND_BETA_087,2021-01-01,66,66,0,0,PASS
BRAND_BETA,BRAND_BETA_095,2021-01-01,66,66,0,0,PASS
BRAND_GAMMA,BRAND_GAMMA_021,2021-01-01,66,66,0,0,PASS
BRAND_GAMMA,BRAND_GAMMA_064,2021-01-01,66,66,0,0,PASS
BRAND_GAMMA,BRAND_GAMMA_066,2021-01-01,66,66,0,0,PASS
BRAND_ALPHA,BRAND_ALPHA_112,2021-02-01,65,65,0,0,PASS
BRAND_BETA,BRAND_BETA_001,2021-02-01,65,65,0,0,PASS
BRAND_BETA,BRAND_BETA_070,2021-02-01,65,65,0,0,PASS
BRAND_BETA,BRAND_BETA_078,2021-02-01,65,65,0,0,PASS
BRAND_BETA,BRAND_BETA_105,2021-02-01,65,65,0,0,PASS
BRAND_GAMMA,BRAND_GAMMA_003,2021-02-01,65,65,0,0,PASS
BRAND_BETA,BRAND_BETA_055,2021-03-01,64,64,0,0,PASS
BRAND_BETA,BRAND_BETA_069,2021-03-01,64,64,0,0,PASS
BRAND_BETA,BRAND_BETA_094,2021-03-01,64,64,0,0,PASS
BRAND_ALPHA,BRAND_ALPHA_012,2021-04-01,63,63,0,0,PASS
BRAND_ALPHA,BRAND_ALPHA_085,2021-04-01,63,63,0,0,PASS
BRAND_ALPHA,BRAND_ALPHA_173,2021-04-01,36,36,0,0,PASS
BRAND_BETA,BRAND_BETA_023,2021-04-01,63,63,0,0,PASS
BRAND_BETA,BRAND_BETA_031,2021-04-01,63,63,0,0,PASS
BRAND_BETA,BRAND_BETA_077,2021-04-01,63,63,0,0,PASS
BRAND_BETA,BRAND_BETA_091,2021-04-01,63,63,0,0,PASS
BRAND_GAMMA,BRAND_GAMMA_040,2021-04-01,63,63,0,0,PASS
BRAND_ALPHA,BRAND_ALPHA_044,2021-05-01,62,62,0,0,PASS
BRAND_ALPHA,BRAND_ALPHA_133,2021-05-01,62,62,0,0,PASS
